state,state_abbreviation,year,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors,voter_turnout_ratio
Madhya Pradesh,,2019,HOSHANGABAD,RAJESH KUMAR UIKEY,MALE,43.0,ST,GGP,Saw,3412,25,3437,1706141,0.20144876654391403
Madhya Pradesh,,2019,HOSHANGABAD,ARYA RAVI PARIHAR,MALE,42.0,GENERAL,IND,Key,1803,2,1805,1706141,0.10579430422221844
Madhya Pradesh,,2019,HOSHANGABAD,DIWAN SHAILENDRA,MALE,27.0,GENERAL,IND,Camera,3424,2,3426,1706141,0.20080403671208888
Madhya Pradesh,,2019,HOSHANGABAD,MADAN MOHAN,MALE,43.0,GENERAL,IND,Scissors,5436,1,5437,1706141,0.31867237233030565
Madhya Pradesh,,2019,HOSHANGABAD,SHALIGRAM MAKODIYA,MALE,60.0,SC,IND,Almirah,4836,1,4837,1706141,0.2835052905943881
Madhya Pradesh,,2019,HOSHANGABAD,NOTA,,,,NOTA,,18410,3,18413,1706141,1.0792191266724145
Madhya Pradesh,,2019,VIDISHA,Geetawali Er. P.S. Ahirwar,FEMALE,51.0,SC,BSP,Elephant,14319,90,14409,1741604,0.8273407732182516
Madhya Pradesh,,2019,VIDISHA,Ramakant Bhargava,MALE,65.0,GENERAL,BJP,Lotus,850443,2579,853022,1741604,48.97910202319241
Madhya Pradesh,,2019,VIDISHA,Shailendra Rameshchandra Patel,MALE,43.0,GENERAL,INC,Hand,348815,1123,349938,1741604,20.092856929589047
Madhya Pradesh,,2019,VIDISHA,Madan Lal Bhadoriya,MALE,47.0,SC,PRSP,Slate,4609,3,4612,1741604,0.26481335596381267
Madhya Pradesh,,2019,VIDISHA,Ramkrishna Surywanshi,MALE,34.0,SC,BMUP,Cot,999,1,1000,1741604,0.05741833390368878
Madhya Pradesh,,2019,VIDISHA,Anil Malviya Patrakar,MALE,33.0,SC,IND,Key,792,1,793,1741604,0.04553273878562521
Madhya Pradesh,,2019,VIDISHA,"Mohd. Talat Khan ""Talat""",MALE,48.0,GENERAL,IND,Sewing Machine,1086,0,1086,1741604,0.062356310619406025
Madhya Pradesh,,2019,VIDISHA,Devendra Singh Chouhan,MALE,41.0,GENERAL,IND,Glass Tumbler,2633,1,2634,1741604,0.15123989150231626
Madhya Pradesh,,2019,VIDISHA,Naveen Jatav,MALE,32.0,SC,IND,Ring,1185,2,1187,1741604,0.06815556234367859
Madhya Pradesh,,2019,VIDISHA,Mahant Pratap Giri,MALE,38.0,GENERAL,IND,Air Conditioner,1258,2,1260,1741604,0.07234710071864786
Madhya Pradesh,,2019,VIDISHA,Vivek Kumar,MALE,34.0,GENERAL,IND,Saw,2681,3,2684,1741604,0.1541108081975007
Madhya Pradesh,,2019,VIDISHA,Shailendra Patel,MALE,40.0,GENERAL,IND,Mike,3897,1,3898,1741604,0.2238166655565789
Madhya Pradesh,,2019,VIDISHA,Sudhir Kumar,MALE,52.0,GENERAL,IND,Crane,5101,1,5102,1741604,0.29294833957662014
Madhya Pradesh,,2019,VIDISHA,NOTA,,,,NOTA,,8591,28,8619,1741604,0.4948886199158936
Madhya Pradesh,,2019,BHOPAL,DIGVIJAYA SINGH,MALE,71.0,GENERAL,INC,Hand,501279,381,501660,2142861,23.41075786063585
Madhya Pradesh,,2019,BHOPAL,SADHVI PRAGYA SINGH THAKUR,FEMALE,49.0,GENERAL,BJP,Lotus,865212,1270,866482,2142861,40.435753882309676
Madhya Pradesh,,2019,BHOPAL,MADHO SINGH AHIRWAR,MALE,41.0,SC,BSP,Elephant,11250,27,11277,2142861,0.5262590527337051
Madhya Pradesh,,2019,BHOPAL,ABDUL TAHIR ANSARI (BABLU) ADVOCATE PATRKAR AND SAMAJSEWAK,MALE,45.0,GENERAL,swbi,Whistle,526,1,527,2142861,0.024593289065413016
Madhya Pradesh,,2019,BHOPAL,MD. IQBAL KHAN,MALE,35.0,GENERAL,SMARTIP,DIAMOND,844,0,844,2142861,0.03938659577079428
Madhya Pradesh,,2019,BHOPAL,KAMLESH DANGI THAKUR,MALE,39.0,GENERAL,HND,Water Tank,685,1,686,2142861,0.03201327570943706
Madhya Pradesh,,2019,BHOPAL,GAUTAM NAGDAVANE,MALE,51.0,SC,APoI,Coat,855,1,856,2142861,0.0399465947627961
Madhya Pradesh,,2019,BHOPAL,PIYUSH JAIN,MALE,30.0,GENERAL,RTORP,Auto- Rickshaw,483,1,484,2142861,0.02258662601073985
Madhya Pradesh,,2019,BHOPAL,PRABHA BHARTI,FEMALE,46.0,GENERAL,JLokP,Apple,469,4,473,2142861,0.02207329360140485
